Precision 0.61, Recall 0.53, F1 0.57
Precision 0.65, Recall 0.58, F1 0.61
Precision 0.63, Recall 0.57, F1 0.60
Precision 0.62, Recall 0.42, F1 0.50
Precision 0.70, Recall 0.62, F1 0.66
Precision 0.66, Recall 0.68, F1 0.67
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.85, Recall 0.79, F1 0.82
Precision 0.42, Recall 0.37, F1 0.39
Precision 0.70, Recall 0.64, F1 0.67
Precision 0.52, Recall 0.44, F1 0.48
Precision 0.50, Recall 0.12, F1 0.20
Precision 0.85, Recall 0.76, F1 0.80
Precision 0.25, Recall 0.09, F1 0.13
Precision 0.51, Recall 0.53, F1 0.52
Precision 0.59, Recall 0.36, F1 0.45
Precision 0.00, Recall 0.00, F1 0.00
Precision 0.00, Recall 0.00, F1 0.00
Precision 0.25, Recall 0.17, F1 0.20
Precision 0.80, Recall 0.73, F1 0.76
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.36, Recall 0.16, F1 0.22
Precision 0.64, Recall 0.61, F1 0.62
Precision 1.00, Recall 0.22, F1 0.36
Precision 0.67, Recall 0.13, F1 0.22
Precision 0.52, Recall 0.23, F1 0.32
Precision 0.60, Recall 0.17, F1 0.26
Precision 1.00, Recall 0.50, F1 0.67
Precision 0.75, Recall 0.69, F1 0.72
Precision 0.43, Recall 0.35, F1 0.39
Precision 0.31, Recall 0.24, F1 0.27
Precision 0.38, Recall 0.29, F1 0.33
Precision 0.48, Recall 0.46, F1 0.47
Precision 0.76, Recall 0.68, F1 0.72
Precision 0.54, Recall 0.46, F1 0.50
Precision 0.26, Recall 0.15, F1 0.19
Precision 0.44, Recall 0.29, F1 0.35
Precision 0.22, Recall 0.12, F1 0.16
Precision 0.57, Recall 0.50, F1 0.53
Precision 0.60, Recall 0.56, F1 0.58
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.44, Recall 0.22, F1 0.29
Precision 0.64, Recall 0.60, F1 0.62
Precision 0.78, Recall 0.15, F1 0.25
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.66, Recall 0.69, F1 0.67
Precision 0.00, Recall 0.00, F1 0.00
Precision 0.63, Recall 0.55, F1 0.58
Precision 0.68, Recall 0.51, F1 0.58
Precision 0.62, Recall 0.45, F1 0.52
Precision 0.33, Recall 0.17, F1 0.22
Precision 0.75, Recall 0.50, F1 0.60
Precision 0.63, Recall 0.55, F1 0.59
Precision 0.60, Recall 0.46, F1 0.52
Precision 0.62, Recall 0.54, F1 0.58
Precision 0.83, Recall 1.00, F1 0.91
Precision 1.00, Recall 0.56, F1 0.71
Precision 0.25, Recall 0.17, F1 0.20
Precision 1.00, Recall 0.67, F1 0.80
Precision 0.67, Recall 0.67, F1 0.67
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.50, Recall 0.33, F1 0.40
Precision 0.50, Recall 0.33, F1 0.40
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.60, Recall 0.60, F1 0.60
Precision 0.80, Recall 0.80, F1 0.80
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.67, Recall 1.00, F1 0.80
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.67, F1 0.80
Precision 1.00, Recall 0.45, F1 0.62
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.60, Recall 0.43, F1 0.50
Precision 0.00, Recall 1.00, F1 0.00
Precision 0.50, Recall 0.67, F1 0.57
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.20, F1 0.33
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
